"","MUNIC_RES","ANO_MES_INTERNACAO","n_internacoes"
"1","280670","2017-02",1
"2","280740","2017-07",1
"3","280010","2017-08",1
"4","280030","2017-08",1
"5","280445","2017-08",1
"6","280670","2017-08",1
"7","280030","2017-09",3
"8","280320","2017-09",1
"9","280350","2017-09",2
"10","280390","2017-09",1
"11","280410","2017-09",1
"12","280440","2017-09",1
"13","280480","2017-09",1
"14","280650","2017-09",1
"15","280670","2017-09",2
"16","280710","2017-09",1
"17","280030","2017-10",16
"18","280120","2017-10",1
"19","280170","2017-10",1
"20","280210","2017-10",3
"21","280230","2017-10",2
"22","280250","2017-10",1
"23","280350","2017-10",1
"24","280360","2017-10",1
"25","280430","2017-10",1
"26","280440","2017-10",1
"27","280460","2017-10",1
"28","280480","2017-10",3
"29","280530","2017-10",2
"30","280550","2017-10",1
"31","280570","2017-10",1
"32","280620","2017-10",1
"33","280670","2017-10",5
"34","290035","2017-10",1
"35","290780","2017-10",2
"36","290860","2017-10",1
"37","292420","2017-10",1
"38","270750","2017-11",1
"39","280030","2017-11",15
"40","280060","2017-11",1
"41","280067","2017-11",2
"42","280130","2017-11",1
"43","280140","2017-11",1
"44","280160","2017-11",2
"45","280170","2017-11",2
"46","280210","2017-11",6
"47","280330","2017-11",2
"48","280350","2017-11",8
"49","280400","2017-11",2
"50","280410","2017-11",1
"51","280440","2017-11",2
"52","280480","2017-11",11
"53","280530","2017-11",2
"54","280560","2017-11",1
"55","280620","2017-11",3
"56","280670","2017-11",3
"57","280710","2017-11",2
"58","280740","2017-11",1
"59","290780","2017-11",2
"60","291080","2017-11",1
"61","291790","2017-11",2
"62","292310","2017-11",1
"63","280020","2017-12",2
"64","280030","2017-12",12
"65","280130","2017-12",1
"66","280140","2017-12",2
"67","280170","2017-12",1
"68","280210","2017-12",7
"69","280280","2017-12",2
"70","280300","2017-12",1
"71","280330","2017-12",1
"72","280350","2017-12",9
"73","280360","2017-12",4
"74","280380","2017-12",1
"75","280430","2017-12",1
"76","280480","2017-12",8
"77","280540","2017-12",1
"78","280550","2017-12",1
"79","280570","2017-12",1
"80","280630","2017-12",2
"81","280650","2017-12",1
"82","280660","2017-12",1
"83","280670","2017-12",7
"84","280760","2017-12",3
"85","290035","2017-12",1
"86","292740","2017-12",1
"87","410590","2017-12",1
"88","280020","2018-01",6
"89","280030","2018-01",23
"90","280100","2018-01",1
"91","280120","2018-01",2
"92","280130","2018-01",5
"93","280150","2018-01",1
"94","280170","2018-01",3
"95","280210","2018-01",12
"96","280230","2018-01",1
"97","280280","2018-01",1
"98","280310","2018-01",1
"99","280320","2018-01",2
"100","280350","2018-01",6
"101","280360","2018-01",1
"102","280410","2018-01",1
"103","280430","2018-01",1
"104","280440","2018-01",1
"105","280445","2018-01",1
"106","280450","2018-01",1
"107","280460","2018-01",1
"108","280470","2018-01",1
"109","280480","2018-01",7
"110","280500","2018-01",2
"111","280590","2018-01",6
"112","280610","2018-01",1
"113","280620","2018-01",2
"114","280630","2018-01",1
"115","280670","2018-01",1
"116","280680","2018-01",1
"117","280710","2018-01",2
"118","280720","2018-01",2
"119","280740","2018-01",3
"120","280750","2018-01",1
"121","292660","2018-01",1
"122","292740","2018-01",1
"123","280020","2018-02",10
"124","280030","2018-02",13
"125","280060","2018-02",1
"126","280067","2018-02",2
"127","280130","2018-02",3
"128","280200","2018-02",1
"129","280210","2018-02",12
"130","280220","2018-02",1
"131","280280","2018-02",1
"132","280300","2018-02",1
"133","280350","2018-02",7
"134","280360","2018-02",1
"135","280370","2018-02",1
"136","280380","2018-02",1
"137","280390","2018-02",1
"138","280430","2018-02",3
"139","280440","2018-02",1
"140","280480","2018-02",11
"141","280540","2018-02",1
"142","280570","2018-02",1
"143","280590","2018-02",2
"144","280630","2018-02",2
"145","280650","2018-02",1
"146","280660","2018-02",1
"147","280670","2018-02",2
"148","280710","2018-02",2
"149","280740","2018-02",1
"150","280760","2018-02",4
"151","290860","2018-02",2
"152","292380","2018-02",1
"153","280020","2018-03",9
"154","280030","2018-03",18
"155","280040","2018-03",3
"156","280067","2018-03",1
"157","280110","2018-03",1
"158","280120","2018-03",1
"159","280130","2018-03",2
"160","280140","2018-03",3
"161","280170","2018-03",1
"162","280200","2018-03",1
"163","280210","2018-03",9
"164","280270","2018-03",2
"165","280280","2018-03",2
"166","280290","2018-03",1
"167","280300","2018-03",1
"168","280320","2018-03",2
"169","280350","2018-03",1
"170","280360","2018-03",1
"171","280380","2018-03",1
"172","280420","2018-03",1
"173","280440","2018-03",1
"174","280480","2018-03",9
"175","280510","2018-03",2
"176","280540","2018-03",1
"177","280550","2018-03",2
"178","280580","2018-03",1
"179","280590","2018-03",7
"180","280670","2018-03",3
"181","280710","2018-03",3
"182","280740","2018-03",1
"183","280750","2018-03",2
"184","280760","2018-03",1
"185","280020","2018-04",7
"186","280030","2018-04",7
"187","280040","2018-04",2
"188","280050","2018-04",1
"189","280060","2018-04",1
"190","280067","2018-04",2
"191","280100","2018-04",1
"192","280130","2018-04",7
"193","280170","2018-04",3
"194","280200","2018-04",1
"195","280210","2018-04",9
"196","280290","2018-04",1
"197","280300","2018-04",1
"198","280310","2018-04",2
"199","280320","2018-04",2
"200","280330","2018-04",1
"201","280350","2018-04",2
"202","280430","2018-04",1
"203","280480","2018-04",8
"204","280540","2018-04",1
"205","280550","2018-04",2
"206","280580","2018-04",1
"207","280590","2018-04",5
"208","280630","2018-04",1
"209","280650","2018-04",1
"210","280660","2018-04",1
"211","280670","2018-04",1
"212","280750","2018-04",1
"213","290920","2018-04",1
"214","291650","2018-04",1
"215","280020","2018-05",10
"216","280030","2018-05",11
"217","280060","2018-05",2
"218","280130","2018-05",2
"219","280160","2018-05",1
"220","280170","2018-05",2
"221","280210","2018-05",4
"222","280290","2018-05",3
"223","280300","2018-05",4
"224","280310","2018-05",1
"225","280320","2018-05",1
"226","280330","2018-05",1
"227","280350","2018-05",5
"228","280360","2018-05",1
"229","280400","2018-05",1
"230","280430","2018-05",1
"231","280440","2018-05",1
"232","280460","2018-05",1
"233","280480","2018-05",8
"234","280490","2018-05",1
"235","280510","2018-05",1
"236","280540","2018-05",1
"237","280570","2018-05",2
"238","280580","2018-05",3
"239","280590","2018-05",7
"240","280610","2018-05",1
"241","280630","2018-05",2
"242","280670","2018-05",2
"243","280710","2018-05",1
"244","280760","2018-05",1
"245","270750","2018-06",2
"246","280020","2018-06",10
"247","280030","2018-06",14
"248","280040","2018-06",4
"249","280067","2018-06",5
"250","280120","2018-06",1
"251","280130","2018-06",8
"252","280160","2018-06",1
"253","280170","2018-06",1
"254","280200","2018-06",3
"255","280210","2018-06",9
"256","280240","2018-06",1
"257","280280","2018-06",5
"258","280290","2018-06",2
"259","280300","2018-06",3
"260","280320","2018-06",2
"261","280350","2018-06",2
"262","280360","2018-06",1
"263","280480","2018-06",9
"264","280490","2018-06",2
"265","280510","2018-06",2
"266","280530","2018-06",1
"267","280540","2018-06",1
"268","280550","2018-06",1
"269","280560","2018-06",1
"270","280570","2018-06",3
"271","280590","2018-06",6
"272","280610","2018-06",1
"273","280620","2018-06",1
"274","280630","2018-06",2
"275","280650","2018-06",4
"276","280670","2018-06",4
"277","280690","2018-06",1
"278","280750","2018-06",1
"279","280760","2018-06",2
"280","292740","2018-06",1
"281","280020","2018-07",6
"282","280030","2018-07",7
"283","280040","2018-07",9
"284","280100","2018-07",1
"285","280110","2018-07",1
"286","280130","2018-07",6
"287","280140","2018-07",1
"288","280150","2018-07",1
"289","280160","2018-07",1
"290","280200","2018-07",5
"291","280210","2018-07",6
"292","280280","2018-07",1
"293","280290","2018-07",1
"294","280300","2018-07",1
"295","280350","2018-07",2
"296","280360","2018-07",3
"297","280380","2018-07",1
"298","280480","2018-07",9
"299","280510","2018-07",3
"300","280560","2018-07",2
"301","280570","2018-07",2
"302","280580","2018-07",1
"303","280590","2018-07",13
"304","280630","2018-07",4
"305","280650","2018-07",1
"306","280670","2018-07",7
"307","280740","2018-07",1
"308","290920","2018-07",1
"309","291650","2018-07",1
"310","291790","2018-07",1
"311","270750","2018-08",1
"312","280010","2018-08",1
"313","280020","2018-08",11
"314","280030","2018-08",11
"315","280040","2018-08",5
"316","280050","2018-08",1
"317","280067","2018-08",2
"318","280070","2018-08",1
"319","280110","2018-08",1
"320","280120","2018-08",1
"321","280130","2018-08",7
"322","280140","2018-08",2
"323","280200","2018-08",3
"324","280210","2018-08",10
"325","280230","2018-08",1
"326","280260","2018-08",1
"327","280280","2018-08",1
"328","280290","2018-08",3
"329","280300","2018-08",3
"330","280320","2018-08",2
"331","280340","2018-08",2
"332","280360","2018-08",2
"333","280400","2018-08",1
"334","280430","2018-08",2
"335","280440","2018-08",1
"336","280450","2018-08",1
"337","280480","2018-08",6
"338","280510","2018-08",2
"339","280550","2018-08",1
"340","280560","2018-08",1
"341","280570","2018-08",1
"342","280590","2018-08",11
"343","280610","2018-08",1
"344","280630","2018-08",1
"345","280640","2018-08",1
"346","280650","2018-08",1
"347","280660","2018-08",1
"348","280670","2018-08",6
"349","280710","2018-08",2
"350","291790","2018-08",1
"351","280020","2018-09",10
"352","280030","2018-09",10
"353","280060","2018-09",1
"354","280067","2018-09",1
"355","280110","2018-09",1
